Station,month_ym,ndvi,evi,lst_celsius,et_mm,soil_moisture
Thuttampatti,2025-05,0.5162,0.3098,35.0299,9.0768,0.2085
Vaikundham sankari Salem Tamil Nadu,2025-05,0.4816,0.2775,36.9865,10.9298,0.2054
Veerakal,2025-05,0.6404,0.4385,30.4543,12.0467,0.2093
Veppilaipatty,2025-05,0.6022,0.3496,31.1896,9.5359,0.2091
Amaram_1,2025-06,0.6264,0.4175,29.0957,14.5954,0.214
Ammapet_1,2025-06,0.54,0.3721,29.0776,11.5647,0.1915
Ariyampatti,2025-06,0.6165,0.4212,29.6078,13.4039,0.2025
Avaniperur Keelmugam,2025-06,0.5041,0.3204,33.9348,10.93,0.1882
Ayodhiyapattinam,2025-06,0.6012,0.4243,28.9908,12.6688,0.1911
Egapuram,2025-06,0.5181,0.3259,34.3154,9.9826,0.1932
Erumaipatti_1,2025-06,0.4742,0.3079,33.8678,9.7587,0.1686
Erumaipatti_2,2025-06,0.4995,0.3182,34.8171,9.842,0.1865
Gundakkal,2025-06,0.6475,0.4013,28.5944,13.1357,0.2137
Hasthampati,2025-06,0.4402,0.3055,30.2928,10.7702,0.2042
Hasthampatti,2025-06,0.4835,0.3381,29.7225,11.7317,0.2039
Illupanatham_1,2025-06,0.4218,0.2683,35.8765,8.4222,0.1625
Inam Bairoji,2025-06,0.5995,0.402,30.9179,10.7312,0.1883
Kadambur,2025-06,0.5316,0.3465,32.1311,10.5383,0.178
Kullampatti,2025-06,0.531,0.3452,32.4371,11.828,0.181
M.Chettipatti,2025-06,0.5874,0.3824,30.2506,11.4729,0.2038
Manjakalpatti,2025-06,0.4913,0.3176,32.599,10.0417,0.1737
Mannarpalayam,2025-06,0.5818,0.4145,30.8959,12.3193,0.1892
Moolakadu,2025-06,0.4533,0.2807,28.3229,14.3087,0.1846
Murungapatty,2025-06,0.6235,0.4121,30.1438,13.0506,0.2011
Muthiyampatti,2025-06,0.573,0.3807,32.618,11.7116,0.1983
Nadupatty,2025-06,0.623,0.377,29.8263,12.0088,0.21
Navapatti,2025-06,0.6751,0.4544,26.9194,19.4331,0.1764
Pannavadi,2025-06,0.3849,0.2175,31.1577,10.0858,0.1766
Pappanaickanpatti,2025-06,0.7059,0.4625,27.5274,17.9667,0.1713
Periyakadampatty,2025-06,0.5906,0.3861,30.3482,11.6601,0.2031
Pillukurichi,2025-06,0.6083,0.4062,30.3764,14.3084,0.1805
Pulluthikuttai,2025-06,0.6899,0.4274,26.5397,18.4057,0.1773
Rajapalayam (TN-MWS01),2025-06,0.3704,0.21,37.7265,6.8083,0.1663
Ramagudal,2025-06,0.5107,0.3257,33.4866,10.9354,0.1683
Ramanaickanpalayam,2025-06,0.527,0.3584,31.9755,10.9144,0.18
Samuthiram_1,2025-06,0.5753,0.3803,32.4405,11.7368,0.1991
Sanarpatti,2025-06,0.6312,0.4285,28.2796,13.86,0.1997
Sandhiyur,2025-06,0.6216,0.4197,29.4223,11.0433,0.1909
Sendarapatti,2025-06,0.5969,0.387,30.2766,10.9431,0.1925
Singipuram,2025-06,0.5443,0.382,31.7597,11.3764,0.1855
Siruvachur,2025-06,0.4676,0.2943,35.4117,9.6308,0.1925
Sitteri,2025-06,0.4387,0.2856,35.7631,8.945,0.162
Sukkampatti,2025-06,0.6253,0.4129,28.5878,14.5085,0.1906
Thekkampatti,2025-06,0.5853,0.3924,29.4867,12.3212,0.2066
Thuttampatti,2025-06,0.5791,0.3711,31.9449,11.3671,0.2017
Vaikundham sankari Salem Tamil Nadu,2025-06,0.449,0.2417,32.363,11.5277,0.2237
Veerakal,2025-06,0.6394,0.4358,28.1787,14.4541,0.2026
Veppilaipatty,2025-06,0.6299,0.4346,28.7168,12.8254,0.1918
Amaram_1,2025-07,0.5899,0.3304,32.7031,12.766,0.1829
Ammapet_1,2025-07,0.5642,0.3244,29.9354,12.2197,0.1705
Ariyampatti,2025-07,0.5852,0.3179,32.3924,12.1672,0.175
Avaniperur Keelmugam,2025-07,0.5893,0.3251,32.6382,11.2298,0.1675
Ayodhiyapattinam,2025-07,0.6407,0.3639,30.6305,12.702,0.1704
Egapuram,2025-07,0.5991,0.3425,33.8613,11.0486,0.1721
Erumaipatti_1,2025-07,0.4986,0.3014,33.4066,10.4789,0.1591
Erumaipatti_2,2025-07,0.5881,0.3349,33.7543,10.6978,0.1685
Gundakkal,2025-07,0.6281,0.3635,30.4795,15.5214,0.1838
Hasthampati,2025-07,0.4712,0.2621,31.0745,10.744,0.1807
Hasthampatti,2025-07,0.523,0.2906,30.8926,11.0577,0.1802
Illupanatham_1,2025-07,0.4087,0.2464,37.0863,8.8937,0.1552
Inam Bairoji,2025-07,0.6925,0.3974,30.5652,11.7286,0.1704
Kadambur,2025-07,0.5361,0.2943,33.6227,10.7977,0.1648
Kullampatti,2025-07,0.6067,0.3447,31.3839,11.7608,0.1627
M.Chettipatti,2025-07,0.6005,0.3365,32.4641,12.3509,0.1769
Manjakalpatti,2025-07,0.5159,0.3072,33.1181,10.7707,0.1611
Mannarpalayam,2025-07,0.5811,0.3622,32.6349,12.7521,0.1754
Moolakadu,2025-07,0.438,0.2503,28.1993,14.191,0.158
Murungapatty,2025-07,0.6336,0.3771,29.6891,13.4793,0.1776
Muthiyampatti,2025-07,0.6051,0.3342,32.723,11.5381,0.1735
Nadupatty,2025-07,0.613,0.3463,31.7691,14.1459,0.1791
Navapatti,2025-07,0.6042,0.3864,27.2646,16.8512,0.1532
Pannavadi,2025-07,0.356,0.1967,30.0645,11.023,0.1499
Pappanaickanpatti,2025-07,0.7255,0.3573,29.1138,16.5709,0.17
Periyakadampatty,2025-07,0.5894,0.3284,32.3853,12.3899,0.1759
Pillukurichi,2025-07,0.6612,0.4006,29.1448,13.7051,0.1588
Pulluthikuttai,2025-07,0.7529,0.3753,28.5474,16.8284,0.1697
Rajapalayam (TN-MWS01),2025-07,0.3348,0.1944,39.1488,7.816,0.1457
Ramagudal,2025-07,0.5361,0.3149,33.1586,10.7862,0.1579
Ramanaickanpalayam,2025-07,0.5367,0.316,34.1373,11.1686,0.1714
Samuthiram_1,2025-07,0.6006,0.3324,32.8901,11.7065,0.1739
Sanarpatti,2025-07,0.6251,0.3629,29.9923,12.8705,0.1725
Sandhiyur,2025-07,0.6403,0.3864,29.6335,11.9479,0.172
Sendarapatti,2025-07,0.6019,0.3421,32.4664,11.7526,0.1778
Singipuram,2025-07,0.5331,0.3288,34.0911,11.7561,0.1735
Siruvachur,2025-07,0.4811,0.3228,35.1191,10.6048,0.1894
Sitteri,2025-07,0.4237,0.2768,36.3073,9.3751,0.1567
Sukkampatti,2025-07,0.6813,0.3591,30.9761,13.947,0.1703
Thekkampatti,2025-07,0.6053,0.3342,31.0651,12.3229,0.1817
Thuttampatti,2025-07,0.5611,0.3181,32.3992,11.9603,0.1748
Vaikundham sankari Salem Tamil Nadu,2025-07,0.4731,0.2909,33.4531,12.2006,0.2209
Veerakal,2025-07,0.6639,0.3616,29.9022,12.5517,0.1747
Veppilaipatty,2025-07,0.6614,0.4129,29.979,13.8268,0.1776
Amaram_1,2025-08,0.4927,0.3351,34.1058,14.0221,0.2057
Ammapet_1,2025-08,0.5416,0.3947,31.305,15.0103,0.1928
Ariyampatti,2025-08,0.498,0.3608,33.1448,13.8475,0.1985
Avaniperur Keelmugam,2025-08,0.5859,0.4552,31.5523,14.3366,0.1925
Ayodhiyapattinam,2025-08,0.6005,0.4565,30.9693,14.9639,0.1942
Egapuram,2025-08,0.5617,0.4402,32.5371,14.055,0.197
Erumaipatti_1,2025-08,0.5138,0.3912,33.2819,12.9226,0.1832
Erumaipatti_2,2025-08,0.5609,0.4209,32.6185,13.7017,0.1936
Gundakkal,2025-08,0.5746,0.4054,31.0079,16.6017,0.2071
Hasthampati,2025-08,0.4547,0.3123,32.5641,14.0381,0.2016
Hasthampatti,2025-08,0.501,0.3518,31.8944,14.5213,0.2012
Illupanatham_1,2025-08,0.5135,0.3546,35.8525,11.4377,0.2336
Inam Bairoji,2025-08,0.6363,0.4847,30.8304,14.9325,0.1965
Kadambur,2025-08,0.6282,0.4618,31.8976,13.5028,0.2171
Kullampatti,2025-08,0.6047,0.4626,30.7005,14.943,0.1874
M.Chettipatti,2025-08,0.525,0.3817,33.3292,14.3395,0.1999
Manjakalpatti,2025-08,0.5319,0.4003,32.1489,13.1612,0.1857
Mannarpalayam,2025-08,0.622,0.4279,30.9653,14.2609,0.208
Moolakadu,2025-08,0.4206,0.3128,28.8486,17.0862,0.1851
Murungapatty,2025-08,0.6197,0.4669,31.2257,15.5781,0.2014
Muthiyampatti,2025-08,0.554,0.4087,32.5575,14.6316,0.1977
Nadupatty,2025-08,0.5738,0.4023,31.9558,16.0613,0.2024
Navapatti,2025-08,0.6591,0.501,27.5551,17.6657,0.1809
Pannavadi,2025-08,0.3416,0.2344,30.1464,17.0607,0.1785
Pappanaickanpatti,2025-08,0.7102,0.5114,27.9818,16.2107,0.2128
Periyakadampatty,2025-08,0.517,0.3754,33.4794,14.2449,0.1991
Pillukurichi,2025-08,0.6506,0.5008,29.8278,16.2832,0.1853
Pulluthikuttai,2025-08,0.7387,0.5239,27.4325,18.4994,0.2061
Rajapalayam (TN-MWS01),2025-08,0.4414,0.2806,38.4926,9.6992,0.2273
Ramagudal,2025-08,0.5571,0.3901,32.6761,13.808,0.1795
Ramanaickanpalayam,2025-08,0.5859,0.4256,32.4774,13.125,0.2146
Samuthiram_1,2025-08,0.5447,0.3995,32.7702,14.574,0.1979
Sanarpatti,2025-08,0.5874,0.4451,30.3866,15.0154,0.1969
Sandhiyur,2025-08,0.6308,0.496,29.9169,14.7651,0.1966
Sendarapatti,2025-08,0.6467,0.4723,31.5361,13.9715,0.2262
Singipuram,2025-08,0.5892,0.406,31.739,13.3464,0.2084
Siruvachur,2025-08,0.5897,0.4362,34.3485,13.4196,0.2551
Sitteri,2025-08,0.5434,0.3841,34.7163,12.2662,0.2389
Sukkampatti,2025-08,0.6765,0.5109,29.3957,16.7045,0.1949
Thekkampatti,2025-08,0.5615,0.3975,31.4607,15.3384,0.2027
Thuttampatti,2025-08,0.5133,0.3787,33.4596,14.1716,0.1983
Vaikundham sankari Salem Tamil Nadu,2025-08,0.4614,0.3178,34.5784,18.1865,0.2377
Veerakal,2025-08,0.5843,0.4178,30.6039,14.933,0.1986
Veppilaipatty,2025-08,0.6595,0.4775,29.5467,15.2702,0.2067
Amaram_1,2025-09,0.6237,0.4361,29.0455,15.5157,0.2246
Ammapet_1,2025-09,0.5717,0.3682,30.2071,15.5902,0.2189
Ariyampatti,2025-09,0.6111,0.4841,29.6244,15.5211,0.2157
Avaniperur Keelmugam,2025-09,0.6211,0.431,30.9738,16.4848,0.207
Ayodhiyapattinam,2025-09,0.624,0.4264,30.1265,15.6756,0.2209
Egapuram,2025-09,0.5563,0.3839,32.3953,15.2999,0.2133
Erumaipatti_1,2025-09,0.582,0.4238,32.4842,15.0221,0.2042
Erumaipatti_2,2025-09,0.5975,0.4073,32.318,15.6069,0.2103
Gundakkal,2025-09,0.6804,0.4662,29.1166,18.0893,0.2286
Hasthampati,2025-09,0.4821,0.3037,31.0825,14.7078,0.2269
Hasthampatti,2025-09,0.5311,0.336,30.3968,15.3045,0.227
Illupanatham_1,2025-09,0.6547,0.4705,33.9118,14.7012,0.2331
Inam Bairoji,2025-09,0.6408,0.4572,30.0034,16.4209,0.2158
Kadambur,2025-09,0.7066,0.5066,30.452,16.4871,0.2171
Kullampatti,2025-09,0.6042,0.4349,30.1367,16.3571,0.2005
M.Chettipatti,2025-09,0.6008,0.405,30.2006,15.175,0.2181
Manjakalpatti,2025-09,0.6035,0.4539,31.5167,15.3392,0.2035
Mannarpalayam,2025-09,0.6353,0.4702,31.1848,15.4316,0.2229
Moolakadu,2025-09,0.4807,0.3422,27.4006,20.1706,0.1984
Murungapatty,2025-09,0.6237,0.444,29.8383,16.2007,0.2203
Muthiyampatti,2025-09,0.5987,0.4456,30.1179,16.0323,0.2144
Nadupatty,2025-09,0.6912,0.4439,29.61,17.558,0.2267
Navapatti,2025-09,0.662,0.5221,25.4495,20.5503,0.1917
Pannavadi,2025-09,0.4344,0.2891,29.2217,18.1368,0.1924
Pappanaickanpatti,2025-09,0.7467,0.5508,27.699,19.3698,0.226
Periyakadampatty,2025-09,0.5948,0.4048,30.2918,15.0884,0.2168
Pillukurichi,2025-09,0.6428,0.4642,28.4066,17.3734,0.1964
Pulluthikuttai,2025-09,0.7512,0.5484,27.3442,20.7584,0.2241
Rajapalayam (TN-MWS01),2025-09,0.6133,0.4248,33.9585,14.3815,0.2377
Ramagudal,2025-09,0.585,0.4122,32.004,15.4909,0.1937
Ramanaickanpalayam,2025-09,0.6437,0.4742,31.7162,14.9954,0.2241
Samuthiram_1,2025-09,0.5882,0.441,30.2623,15.921,0.2149
Sanarpatti,2025-09,0.6347,0.5067,27.859,16.5822,0.2125
Sandhiyur,2025-09,0.639,0.4497,29.2655,16.3888,0.2183
Sendarapatti,2025-09,0.6365,0.4689,31.728,15.7362,0.2226
Singipuram,2025-09,0.6224,0.4508,31.2317,15.0439,0.2235
Siruvachur,2025-09,0.645,0.4912,31.3067,15.2658,0.2578
Sitteri,2025-09,0.6615,0.46,33.4134,15.1393,0.2368
Sukkampatti,2025-09,0.6852,0.5183,28.5307,17.5747,0.2218
Thekkampatti,2025-09,0.6098,0.4118,29.7325,15.9576,0.2255
Thuttampatti,2025-09,0.5605,0.4082,31.3141,15.0891,0.2155
Vaikundham sankari Salem Tamil Nadu,2025-09,0.4729,0.3589,34.4206,15.4577,0.1949
Veerakal,2025-09,0.6421,0.4969,28.2726,17.1799,0.2151
Veppilaipatty,2025-09,0.6689,0.512,29.7606,16.2093,0.2231
Amaram_1,2025-10,0.694,0.4869,28.418,19.0803,0.2818
Ammapet_1,2025-10,0.5808,0.4256,29.1494,18.6699,0.2609
Ariyampatti,2025-10,0.6961,0.5116,28.6357,19.5048,0.2735
Avaniperur Keelmugam,2025-10,0.6126,0.3991,29.7745,19.6699,0.2672
Ayodhiyapattinam,2025-10,0.6474,0.5044,28.6689,18.4842,0.2639
Egapuram,2025-10,0.6189,0.4166,29.7435,18.7853,0.2698
Erumaipatti_1,2025-10,0.6564,0.4587,29.2365,19.0392,0.2599
Erumaipatti_2,2025-10,0.6268,0.4293,29.4764,18.9276,0.2673
Gundakkal,2025-10,0.6948,0.478,28.3542,20.2038,0.2821
Hasthampati,2025-10,0.4644,0.355,30.2913,17.6749,0.2695
Hasthampatti,2025-10,0.5107,0.403,29.8368,18.1159,0.2694
Illupanatham_1,2025-10,0.7139,0.5601,30.5581,18.3466,0.2805
Inam Bairoji,2025-10,0.6571,0.4509,29.3054,19.7447,0.2657
Kadambur,2025-10,0.7457,0.5634,28.9815,18.8637,0.265
Kullampatti,2025-10,0.6473,0.4249,29.1112,20.2614,0.2658
M.Chettipatti,2025-10,0.6489,0.471,29.547,18.4548,0.2735
Manjakalpatti,2025-10,0.6522,0.4562,28.7539,19.0403,0.262
Mannarpalayam,2025-10,0.6837,0.5488,29.3488,18.5563,0.2687
Moolakadu,2025-10,0.5112,0.3262,27.2946,21.7433,0.2671
Murungapatty,2025-10,0.676,0.4637,28.7652,19.5443,0.272
Muthiyampatti,2025-10,0.6685,0.4459,29.3125,19.7256,0.2718
Nadupatty,2025-10,0.68,0.5052,28.9879,19.309,0.2774
Navapatti,2025-10,0.7178,0.4993,26.8371,22.8002,0.2576
Pannavadi,2025-10,0.5437,0.3391,28.2752,20.2418,0.2635
Pappanaickanpatti,2025-10,0.7725,0.5392,25.8253,23.4498,0.2695
Periyakadampatty,2025-10,0.6523,0.4707,29.4478,18.5794,0.2735
Pillukurichi,2025-10,0.6646,0.4389,28.6754,20.2918,0.2636
Pulluthikuttai,2025-10,0.7778,0.5896,25.963,21.3511,0.268
Rajapalayam (TN-MWS01),2025-10,0.733,0.5702,30.3782,20.4339,0.2857
Ramagudal,2025-10,0.6423,0.4287,29.0568,19.4876,0.2603
Ramanaickanpalayam,2025-10,0.6873,0.5405,29.8685,17.1258,0.2685
Samuthiram_1,2025-10,0.6681,0.4474,29.288,19.7027,0.2722
Sanarpatti,2025-10,0.7018,0.5004,27.7587,19.7852,0.272
Sandhiyur,2025-10,0.6504,0.4914,28.6119,19.2168,0.2624
Sendarapatti,2025-10,0.724,0.5208,29.8856,19.7236,0.2756
Singipuram,2025-10,0.6706,0.54,29.7122,18.3146,0.2686
Siruvachur,2025-10,0.6873,0.4656,29.9178,18.4122,0.3007
Sitteri,2025-10,0.6782,0.5536,30.681,17.3463,0.2837
Sukkampatti,2025-10,0.7109,0.5714,27.7745,19.2208,0.2658
Thekkampatti,2025-10,0.628,0.4586,29.1285,18.5985,0.2719
Thuttampatti,2025-10,0.6433,0.4357,29.675,19.0678,0.2732
Vaikundham sankari Salem Tamil Nadu,2025-10,0.5733,0.4364,32.3493,18.542,0.2619
Veerakal,2025-10,0.7027,0.5011,27.6468,20.0621,0.2742
Veppilaipatty,2025-10,0.6976,0.5574,28.544,18.7177,0.2683
Amaram_1,2025-11,0.7084,0.4845,27.7838,20.2622,0.2226
Ammapet_1,2025-11,0.6003,0.4007,28.6369,18.5228,0.2096
Ariyampatti,2025-11,0.6959,0.5182,28.3055,19.6697,0.2202
Avaniperur Keelmugam,2025-11,0.6176,0.4294,30.0986,18.5321,0.2127
Ayodhiyapattinam,2025-11,0.6657,0.4579,27.101,18.4685,0.2136
Egapuram,2025-11,0.6391,0.4613,29.2243,19.0307,0.2142
Erumaipatti_1,2025-11,0.6345,0.4624,29.6636,18.4804,0.2033
Erumaipatti_2,2025-11,0.6377,0.4618,29.6782,18.3377,0.21
Gundakkal,2025-11,0.7064,0.4609,27.3871,20.8016,0.2216
Hasthampati,2025-11,0.4786,0.3285,30.1819,17.1262,0.2196
Hasthampatti,2025-11,0.5341,0.3687,29.4658,17.9078,0.2199
Illupanatham_1,2025-11,0.724,0.4641,28.6941,18.6423,0.2376
Inam Bairoji,2025-11,0.6693,0.469,28.6169,18.551,0.2092
Kadambur,2025-11,0.7463,0.5185,28.1886,20.8124,0.2168
Kullampatti,2025-11,0.6777,0.5073,28.4195,20.0997,0.2087
M.Chettipatti,2025-11,0.6499,0.4444,27.678,18.6771,0.2202
Manjakalpatti,2025-11,0.6373,0.4668,29.1962,18.5647,0.2043
Mannarpalayam,2025-11,0.71,0.4984,28.2803,18.9867,0.22
Moolakadu,2025-11,0.4936,0.3048,26.4839,20.5301,0.1949
Murungapatty,2025-11,0.6955,0.4867,27.3185,19.778,0.2184
Muthiyampatti,2025-11,0.6851,0.4919,29.18,19.8678,0.2175
Nadupatty,2025-11,0.6913,0.4783,27.4788,20.3399,0.2176
Navapatti,2025-11,0.7003,0.4875,25.3819,22.1892,0.1932
Pannavadi,2025-11,0.4367,0.2551,26.9217,19.4808,0.1803
Pappanaickanpatti,2025-11,0.7976,0.5397,25.2374,26.3006,0.2255
Periyakadampatty,2025-11,0.6519,0.4424,27.7299,18.772,0.2202
Pillukurichi,2025-11,0.6823,0.4994,27.5294,19.904,0.2017
Pulluthikuttai,2025-11,0.7957,0.5603,24.6534,26.329,0.2212
Rajapalayam (TN-MWS01),2025-11,0.7206,0.4659,28.4825,18.8787,0.2441
Ramagudal,2025-11,0.6834,0.5143,28.9774,19.6407,0.2017
Ramanaickanpalayam,2025-11,0.7009,0.498,28.2344,18.0866,0.2212
Samuthiram_1,2025-11,0.6859,0.4961,29.0812,20.028,0.218
Sanarpatti,2025-11,0.7141,0.5316,26.9555,20.0061,0.2182
Sandhiyur,2025-11,0.6602,0.4636,28.215,18.1722,0.2075
Sendarapatti,2025-11,0.7361,0.5152,27.9305,20.8113,0.2342
Singipuram,2025-11,0.6889,0.49,28.6405,18.4696,0.2204
Siruvachur,2025-11,0.7101,0.4993,28.9675,19.7082,0.2728
Sitteri,2025-11,0.6915,0.4544,28.861,18.141,0.2446
Sukkampatti,2025-11,0.7294,0.5159,26.239,21.0077,0.2157
Thekkampatti,2025-11,0.6506,0.4418,27.9221,18.8072,0.2204
Thuttampatti,2025-11,0.653,0.4491,28.9951,19.3143,0.2196
Vaikundham sankari Salem Tamil Nadu,2025-11,0.5793,0.3484,30.8206,19.7106,0.2416
Veerakal,2025-11,0.7239,0.5265,26.5231,20.0967,0.2192
Veppilaipatty,2025-11,0.725,0.5037,27.5758,19.2244,0.2203
